#id	displayname	altnames	altIDs	elementtype	features	cellularLocation
Protein2708	PSMD7	MOV34L;PSMD7	Reactome:R-HSA-174309;UniProt:P51665	protein	Fragment:1-324	nucleoplasm
Protein2707	PSMD1	PSMD1	Reactome:R-HSA-174348;UniProt:Q99460	protein	Fragment:1-953	nucleoplasm
Protein2729	PSMB7	PSMB7;Z	Reactome:R-HSA-174331;UniProt:Q99436	protein	Fragment:44-277	nucleoplasm
Protein2706	PSMF1	PSMF1	Reactome:R-HSA-174308;UniProt:Q92530	protein	Fragment:1-271	nucleoplasm
Protein2728	PSMC2	MSS1;PSMC2	Reactome:R-HSA-174332;UniProt:P35998	protein	Fragment:2-433	nucleoplasm
Protein2705	HSN3	PSMB4;PROS26	Reactome:R-HSA-174343;UniProt:P28070	protein	Fragment:46-264	nucleoplasm
Protein2727	AF	MCB1;PSMD4	Reactome:R-HSA-174330;UniProt:P55036	protein	Fragment:1-377	nucleoplasm
Protein2709	PSMB10	LMP10;MECL1;PSMB10	Reactome:R-HSA-174349;UniProt:P40306	protein	Fragment:40-273	nucleoplasm
Protein2722	PSMA1	PSMA1;HC2;NU;PSC2;PROS30	Reactome:R-HSA-174333;UniProt:P25786	protein	Fragment:1-263	nucleoplasm
Protein2721	PSMB9	LMP2;PSMB6i;RING12;PSMB9	Reactome:R-HSA-174334;UniProt:P28065	protein	Fragment:21-219	nucleoplasm
Protein2720	p42A	PSMD6;KIAA0107;PFAAP4	Reactome:R-HSA-174316;UniProt:Q15008	protein	Fragment:1-389	nucleoplasm
Protein2742	PSME1	PSME1;IFI5111	Reactome:R-HSA-174320;UniProt:Q06323	protein	Fragment:1-249	nucleoplasm
Protein2741	PSMD9	PSMD9	Reactome:R-HSA-174321;UniProt:O00233	protein	Fragment:1-223	nucleoplasm
Protein2704	PSMB6	PSMB6;LMPY	Reactome:R-HSA-174342;UniProt:P28072	protein	Fragment:35-239	nucleoplasm
Protein2726	PSMB2	PSMB2	Reactome:R-HSA-174335;UniProt:P49721	protein	Fragment:1-201	nucleoplasm
Protein2703	PSMB3	PSMB3	Reactome:R-HSA-174341;UniProt:P49720	protein	Fragment:2-205	nucleoplasm
Protein2725	PSMB8	PSMB5i;RING10;Y2;LMP7;PSMB8	Reactome:R-HSA-174336;UniProt:P28062	protein	Fragment:73-276	nucleoplasm
Protein2702	PSMA5	PSMA5	Reactome:R-HSA-174340;UniProt:P28066	protein	Fragment:1-241	nucleoplasm
Protein2724	p31	PSMD8	Reactome:R-HSA-174318;UniProt:P48556	protein	Fragment:1-350	nucleoplasm
Protein2723	PSMC4	TBP7;PSMC4;MIP224	Reactome:R-HSA-174315;UniProt:P43686	protein	Fragment:1-418	nucleoplasm
Protein2740	PSMD10	PSMD10	Reactome:R-HSA-174322;UniProt:O75832	protein	Fragment:1-226	nucleoplasm
Protein17119	ub-PTCH1	PTCH1	Reactome:R-HSA-5632517;UniProt:Q13635	protein	[ubiquitinylated-lysine]@null;Fragment:1-1447	ciliary-membrane
Protein15382	SMURF1	KIAA1625;SMURF1	Reactome:R-HSA-975972;UniProt:Q9HCE7	protein	Fragment:1-757	cytosol
Protein15381	SMURF2	SMURF2	Reactome:R-HSA-173537;UniProt:Q9HAU4	protein	Fragment:1-748	cytosol
Protein17120	ub-PTCH1	PTCH1	Reactome:R-HSA-5632520;UniProt:Q13635	protein	[ubiquitinylated-lysine]@null;Fragment:1-1447	endocytic-vesicle-membrane
Protein887	KIF3A	KIF3A	Reactome:R-HSA-984767;UniProt:Q9Y496	protein	Fragment:1-699	cytosol
Protein7697	ARRB2	ARRB2;ARB2;ARR2	Reactome:R-HSA-416464;UniProt:P32121	protein	Fragment:1-409	cytosol
Protein631	ARRB1	ARRB1;ARR1	Reactome:R-HSA-264470;UniProt:P49407	protein	Fragment:1-418	cytosol
Protein17066	SMO	SMO;SMOH	Reactome:R-HSA-5610422;UniProt:Q99835	protein	Fragment:28-787	endocytic-vesicle-membrane
Protein7250	SMO	SMO;SMOH	Reactome:R-HSA-5624094;UniProt:Q99835	protein	Fragment:28-787	ciliary-membrane
Protein17122	GAS8	GAS8;GAS11	Reactome:R-HSA-5633057;UniProt:O95995	protein	Fragment:1-478	cytosol
Protein17125	GRK2	GRK2;ADRBK1;BARK;BARK1	Reactome:R-HSA-5632504;UniProt:P25098	protein	Fragment:1-689	primary-cilium
Protein17124	SMO_HUMAN	SMO;SMOH	Reactome:R-HSA-5632525;UniProt:Q99835	protein	[O-phospho-L-serine]@588;[O-phospho-L-serine]@590;[O-phospho-L-serine]@595;[O-phospho-L-threonine]@593;Fragment:28-787	ciliary-membrane
Protein17123	CSNK1A1	CSNK1A1	Reactome:R-HSA-5632507;UniProt:P48729	protein	Fragment:2-337	primary-cilium
Protein17127	EFCAB7	KIAA1799;EFCAB7	Reactome:R-HSA-5633043;UniProt:A8K855	protein	Fragment:1-629	primary-cilium
Protein17128	IQCE	IQCE;KIAA1023	Reactome:R-HSA-5633055;UniProt:Q6IPM2	protein	Fragment:1-695	primary-cilium
Protein17121	GPR161	GPR161	Reactome:R-HSA-5635021;UniProt:Q8N6U8	protein	Fragment:1-529	endocytic-vesicle-membrane
Protein17092	GPR161	GPR161	Reactome:R-HSA-5610373;UniProt:Q8N6U8	protein	Fragment:1-529	ciliary-membrane
Protein17091	TULP3	TULP3;TUBL3	Reactome:R-HSA-5610445;UniProt:O75386	protein	Fragment:1-442	primary-cilium
Protein7269	IFT140	IFT140;WDTC2;KIAA0590	Reactome:R-HSA-5610382;UniProt:Q96RY7	protein	Fragment:1-1462	primary-cilium
Protein7266	SPG	WDR140;IFT122;SPG;WDR10	Reactome:R-HSA-5610379;UniProt:Q9HBG6	protein	Fragment:1-1241	primary-cilium
Protein7270	WDR19	WDR19;KIAA1638	Reactome:R-HSA-5610446;UniProt:Q8NEZ3	protein	Fragment:1-1342	primary-cilium
Protein7267	THM1	TTC21B;Nbla10696;KIAA1992	Reactome:R-HSA-5610430;UniProt:Q7Z4L5	protein	Fragment:1-1316	primary-cilium
Protein7268	WDR35	KIAA1336;IFT121;WDR35	Reactome:R-HSA-5610448;UniProt:Q9P2L0	protein	Fragment:1-1181	primary-cilium
Protein17109	GLI3R	GLI3	Reactome:R-HSA-5610371;UniProt:P10071	protein	None	nucleoplasm
SmallMolecule364	cAMP	3',5'-cyclic-AMP	ChEBI:CHEBI:17489;Reactome:R-ALL-30389	small-molecule	None	cytosol
SmallMolecule363	PPi	diphosphoric-acid	ChEBI:CHEBI:29888;Reactome:R-ALL-111294	small-molecule	None	cytosol
Protein1491	ADCY1	ADCY1	Reactome:R-HSA-53231;UniProt:Q08828	protein	Fragment:1-1119	plasma-membrane
Protein17094	ADCY10	ADCY10;SAC	Reactome:R-HSA-379056;UniProt:Q96PN6	protein	Fragment:1-1610	plasma-membrane
Protein1490	ADCY8	ADCY8	Reactome:R-HSA-53245;UniProt:P40145	protein	Fragment:1-1251	plasma-membrane
Protein1567	ADCY7	KIAA0037;ADCY7	Reactome:R-HSA-379057;UniProt:P51828	protein	Fragment:1-1080	plasma-membrane
Protein1489	ADCY3	KIAA0511;ADCY3	Reactome:R-HSA-379051;UniProt:O60266	protein	Fragment:1-1144	plasma-membrane
Protein1566	ADCY6	KIAA0422;ADCY6	Reactome:R-HSA-379058;UniProt:O43306	protein	Fragment:1-1168	plasma-membrane
Protein1565	ADCY4	ADCY4	Reactome:R-HSA-379054;UniProt:Q8NFM4	protein	Fragment:1-1077	plasma-membrane
Protein1564	ADCY2	KIAA1060;ADCY2	Reactome:R-HSA-379052;UniProt:Q08462	protein	Fragment:1-1091	plasma-membrane
Protein1569	ADCY5	ADCY5	Reactome:R-HSA-170684;UniProt:O95622	protein	Fragment:1-1261	plasma-membrane
Protein1568	ADCY9	ADCY9;KIAA0520	Reactome:R-HSA-379055;UniProt:O60503	protein	Fragment:1-1353	plasma-membrane
SmallMolecule357	Mg2+	magnesium(2+)	ChEBI:CHEBI:18420;Reactome:R-ALL-140344	small-molecule	None	plasma-membrane
SmallMolecule147	GTP	Guanosine-5'-triphosphate;GTP	ChEBI:CHEBI:15996;Reactome:R-ALL-113572	small-molecule	None	plasma-membrane
Protein5637	GNAS	GNAS1;GSP	Reactome:R-HSA-164387;UniProt:P63092	protein	Fragment:1-394	plasma-membrane
Protein17089	SUFU	UNQ650/PRO1280;SUFU	Reactome:R-HSA-5610424;UniProt:Q9UMX1	protein	Fragment:1-484	ciliary-base
Protein17113	GLI2_HUMAN	THP;GLI2	Reactome:R-HSA-5610501;UniProt:P10070	protein	[O-phospho-L-serine]@808;[O-phospho-L-serine]@811;[O-phospho-L-serine]@820;[O-phospho-L-serine]@824;[O-phospho-L-serine]@827;[O-phospho-L-serine]@832;[O-phospho-L-serine]@836;[O-phospho-L-serine]@839;[O-phospho-L-serine]@863;[O-phospho-L-serine]@867;[O-phospho-L-serine]@870;[ubiquitinylated-lysine]@null;Fragment:1-1586	ciliary-base
Protein17103	PRKACG	PRKACG	Reactome:R-HSA-5610405;UniProt:P22612	protein	Fragment:2-351	ciliary-base
Protein17101	PRKACA	PRKACA;PKACA	Reactome:R-HSA-5610402;UniProt:P17612	protein	Fragment:2-351	ciliary-base
Protein17102	PRKACB	PRKACB	Reactome:R-HSA-5610404;UniProt:P22694	protein	Fragment:2-351	ciliary-base
Protein17110	p4S-GLI2	THP;GLI2	Reactome:R-HSA-5610487;UniProt:P10070	protein	[O-phospho-L-serine]@808;[O-phospho-L-serine]@824;[O-phospho-L-serine]@836;[O-phospho-L-serine]@867;Fragment:1-1586	ciliary-base
Protein17087	GLI2	THP;GLI2	Reactome:R-HSA-5610361;UniProt:P10070	protein	Fragment:1-1586	ciliary-base
Protein1705	RBX1	RNF75;ROC1;RBX1	Reactome:R-HSA-180582;UniProt:P62877	protein	Fragment:2-108	cytosol
Protein2465	BTRC	FBW1A;BTRCP;FBXW1A	Reactome:R-HSA-174237;UniProt:Q9Y297	protein	Fragment:1-605	cytosol
Protein2467	SKP1	TCEB1L;OCP2;EMC19;SKP1A	Reactome:R-HSA-174150;UniProt:P63208	protein	Fragment:2-163	cytosol
Protein2466	CUL1	CUL1	Reactome:R-HSA-174230;UniProt:Q13616	protein	Fragment:1-776	cytosol
Protein17112	p11S-GLI2	THP;GLI2	Reactome:R-HSA-5610471;UniProt:P10070	protein	[O-phospho-L-serine]@808;[O-phospho-L-serine]@811;[O-phospho-L-serine]@820;[O-phospho-L-serine]@824;[O-phospho-L-serine]@827;[O-phospho-L-serine]@832;[O-phospho-L-serine]@836;[O-phospho-L-serine]@839;[O-phospho-L-serine]@863;[O-phospho-L-serine]@867;[O-phospho-L-serine]@870;Fragment:1-1586	ciliary-base
Protein17111	p8S-GLI2	THP;GLI2	Reactome:R-HSA-5610494;UniProt:P10070	protein	[O-phospho-L-serine]@808;[O-phospho-L-serine]@811;[O-phospho-L-serine]@824;[O-phospho-L-serine]@827;[O-phospho-L-serine]@836;[O-phospho-L-serine]@839;[O-phospho-L-serine]@867;[O-phospho-L-serine]@870;Fragment:1-1586	ciliary-base
Protein8850	CSNK1A1	CSNK1A1	Reactome:R-HSA-195263;UniProt:P48729	protein	Fragment:2-337	cytosol
Protein1844	GSK3B	GSK3B	Reactome:R-HSA-2997551;UniProt:P49841	protein	Fragment:1-420	cytosol
Dna308	GLI2-gene	GLI2	ENSEMBL:00000074047;Reactome:R-HSA-5617396	dna	Fragment:120735623-120992653	nucleoplasm
Protein17067	SMO	SMO;SMOH	Reactome:R-HSA-5610419;UniProt:Q99835	protein	Fragment:28-787	ciliary-tip
Protein17099	PRKAR2B	PRKAR2B	Reactome:R-HSA-5610414;UniProt:P31323	protein	Fragment:2-418	ciliary-base
Protein17096	TSE1	PRKAR1A;TSE1;PKR1	Reactome:R-HSA-5610408;UniProt:P10644	protein	Fragment:1-381	ciliary-base
Protein17097	PRKAR1B	PRKAR1B	Reactome:R-HSA-5610409;UniProt:P31321	protein	Fragment:2-381	ciliary-base
Protein17098	PRKAR2A	PRKAR2;PRKAR2A;PKR2	Reactome:R-HSA-5610412;UniProt:P13861	protein	Fragment:2-404	ciliary-base
PhysicalEntity1243	microtubule	microtubule	Reactome:R-HSA-5610520	physical-entity	None	axonemal-microtubule
Protein7278	IFT52	IFT52;CGI-53;C20orf9;NGD5	Reactome:R-HSA-5610387;UniProt:Q9Y366	protein	Fragment:1-437	primary-cilium
Protein7299	KIF3A	KIF3A	Reactome:R-HSA-5610394;UniProt:Q9Y496	protein	Fragment:1-699	primary-cilium
Protein7275	IFT88	IFT88;TTC10;TG737	Reactome:R-HSA-5610385;UniProt:Q13099	protein	Fragment:1-832	primary-cilium
Protein7286	IFT57	HIPPI;ESRRBL1;DERP8;IFT57	Reactome:R-HSA-5610389;UniProt:Q9NWB7	protein	Fragment:1-429	primary-cilium
Protein7280	IFT-B	KIAA1179;IFT172	Reactome:R-HSA-5610383;UniProt:Q9UG01	protein	Fragment:1-1749	primary-cilium
Protein17081	FY	FY;FUZ	Reactome:R-HSA-5610354;UniProt:Q9BT04	protein	Fragment:1-418	cytosol
Protein17082	INTU	INTU;PDZK6;KIAA1284;PDZD6	Reactome:R-HSA-5610391;UniProt:Q9ULD6	protein	Fragment:1-942	cytosol
Protein7187	MKS1	MKS1	Reactome:R-HSA-5610400;UniProt:Q9NXB0	protein	Fragment:1-559	cytosol
Protein7180	FTM	KIAA1005;RPGRIP1L;FTM;NPHP8	Reactome:R-HSA-5610418;UniProt:Q68CZ1	protein	Fragment:1-1315	cytosol
Protein2855	OFD1	OFD1;CXorf5	Reactome:R-HSA-380318;UniProt:O75665	protein	Fragment:1-1012	cytosol
Protein17105	Gli3	GLI3	Reactome:R-HSA-5610454;UniProt:P10071	protein	[O-phospho-L-serine]@1006;[O-phospho-L-serine]@849;[O-phospho-L-serine]@865;[O-phospho-L-serine]@877;[O-phospho-L-serine]@907;[O-phospho-L-serine]@980;[O-phospho-L-serine]@null;Fragment:1-1580	ciliary-base
Protein17104	Gli3	GLI3	Reactome:R-HSA-5610492;UniProt:P10071	protein	[O-phospho-L-serine]@1006;[O-phospho-L-serine]@849;[O-phospho-L-serine]@865;[O-phospho-L-serine]@877;[O-phospho-L-serine]@907;[O-phospho-L-serine]@980;Fragment:1-1580	ciliary-base
Protein17106	Gli3	GLI3	Reactome:R-HSA-5610485;UniProt:P10071	protein	[O-phospho-L-serine]@1006;[O-phospho-L-serine]@849;[O-phospho-L-serine]@865;[O-phospho-L-serine]@877;[O-phospho-L-serine]@907;[O-phospho-L-serine]@980;[O-phospho-L-serine]@null;Fragment:1-1580	ciliary-base
Protein17088	GLI3	GLI3	Reactome:R-HSA-5610365;UniProt:P10071	protein	Fragment:1-1580	ciliary-base
Protein17107	Gli3	GLI3	Reactome:R-HSA-5610506;UniProt:P10071	protein	[O-phospho-L-serine]@1006;[O-phospho-L-serine]@849;[O-phospho-L-serine]@865;[O-phospho-L-serine]@877;[O-phospho-L-serine]@907;[O-phospho-L-serine]@980;[O-phospho-L-serine]@null;[ubiquitinylated-lysine]@773;[ubiquitinylated-lysine]@779;[ubiquitinylated-lysine]@784;[ubiquitinylated-lysine]@800;Fragment:1-1580	ciliary-base
Protein17108	GLI3R	GLI3	Reactome:R-HSA-5610369;UniProt:P10071	protein	None	cytosol
Protein17086	GLI1	GLI;GLI1	Reactome:R-HSA-5610357;UniProt:P08151	protein	Fragment:1-1106	ciliary-base
Protein7309	DYNC2H1	DYNC2H1;DNCH2;KIAA1997;DYH1B;DHC2;DHC1B	Reactome:R-HSA-5610352;UniProt:Q8NCM8	protein	Fragment:1-4307	primary-cilium
Protein17114	pS-GLI1	GLI;GLI1	Reactome:R-HSA-5610497;UniProt:P08151	protein	[O-phospho-L-serine]@null;Fragment:1-1106	ciliary-base
Protein17115	ub-pS-GLI1	GLI;GLI1	Reactome:R-HSA-5610514;UniProt:P08151	protein	[O-phospho-L-serine]@null;[ubiquitinylated-lysine]@null;Fragment:1-1106	ciliary-base
