Gene.symbol,adj.P.Val,negLog
COLCA2,8.34E-02,1.078833949
NR2C1,8.34E-02,1.078833949
ATP11C,8.35E-02,1.078313525
FOXA1,8.35E-02,1.078313525
MAPK13,8.35E-02,1.078313525
NFE2L2,8.35E-02,1.078313525
SCD5,8.35E-02,1.078313525
CD200R1L,8.36E-02,1.077793723
DDX18,8.36E-02,1.077793723
HOXD1,8.36E-02,1.077793723
SLC38A5,8.36E-02,1.077793723
TFEC,8.36E-02,1.077793723
ZSCAN23,8.36E-02,1.077793723
RNPC3,8.37E-02,1.077274542
HLA-DPA1,8.38E-02,1.076755981
NDUFA11,8.38E-02,1.076755981
STK38L,8.38E-02,1.076755981
TTTY5,8.38E-02,1.076755981
KLF9,8.39E-02,1.076238039
SLC26A1,8.39E-02,1.076238039
TRIM48,8.39E-02,1.076238039
ADCY7,8.40E-02,1.075720714
AZGP1,8.40E-02,1.075720714
BAI3,8.40E-02,1.075720714
TNS1,8.40E-02,1.075720714
DNAJB4,8.41E-02,1.075204004
LINGO1,8.41E-02,1.075204004
PPIAL4G,8.41E-02,1.075204004
FCN3,8.42E-02,1.074687909
GALNT9,8.42E-02,1.074687909
LMO4,8.42E-02,1.074687909
NDUFA2,8.42E-02,1.074687909
OR4D9,8.42E-02,1.074687909
SERPINE3,8.42E-02,1.074687909
BMP2K,8.43E-02,1.074172425
RFX5,8.43E-02,1.074172425
ARPC1B,8.44E-02,1.073657553
EPHB2,8.45E-02,1.073143291
ATF6B,8.46E-02,1.072629637
CHST15,8.46E-02,1.072629637
DALRD3,8.46E-02,1.072629637
FAM131C,8.46E-02,1.072629637
FN1,8.46E-02,1.072629637
HPSE2,8.46E-02,1.072629637
KIF1B,8.46E-02,1.072629637
LRRCC1,8.46E-02,1.072629637
MAP3K4,8.46E-02,1.072629637
RNVU1-7,8.46E-02,1.072629637
TREML3P,8.46E-02,1.072629637
ZNF793,8.46E-02,1.072629637
CHRAC1,8.47E-02,1.07211659
LRP1B,8.48E-02,1.071604148
CDKL5,8.49E-02,1.07109231
SNRPN,8.49E-02,1.07109231
ANAPC16,8.50E-02,1.070581074
CACNB2,8.50E-02,1.070581074
FCHSD2,8.51E-02,1.07007044
PRKCD,8.51E-02,1.07007044
UQCRH,8.51E-02,1.07007044
COPA,8.52E-02,1.069560405
BAI1,8.53E-02,1.069050969
CENPE,8.53E-02,1.069050969
CHMP2B,8.53E-02,1.069050969
FEM1B,8.53E-02,1.069050969
MBD1,8.53E-02,1.069050969
P2RX6P,8.53E-02,1.069050969
RFC4,8.53E-02,1.069050969
TNFSF13,8.53E-02,1.069050969
UTP3,8.53E-02,1.069050969
VAMP5,8.53E-02,1.069050969
ZNF286A,8.53E-02,1.069050969
ACER2,8.54E-02,1.068542129
FAM19A3,8.54E-02,1.068542129
PPP2R5D,8.54E-02,1.068542129
SIPA1,8.54E-02,1.068542129
VCX3A,8.54E-02,1.068542129
ZFP42,8.54E-02,1.068542129
C21orf54,8.55E-02,1.068033885
PMS2,8.55E-02,1.068033885
RFESD,8.55E-02,1.068033885
TWF1,8.55E-02,1.068033885
ARNT,8.56E-02,1.067526235
CENPT,8.56E-02,1.067526235
FAHD2A,8.56E-02,1.067526235
GIMAP2,8.56E-02,1.067526235
SCD,8.56E-02,1.067526235
ZNF517,8.56E-02,1.067526235
RMI2,8.57E-02,1.067019178
DNASE1L3,8.58E-02,1.066512712
KIR3DL3,8.58E-02,1.066512712
MTMR7,8.58E-02,1.066512712
SALL2,8.58E-02,1.066512712
TDP2,8.59E-02,1.066006836
BRD2,8.60E-02,1.065501549
ELP3,8.60E-02,1.065501549
EPHA5,8.60E-02,1.065501549
EZH2,8.60E-02,1.065501549
POLR2J4,8.60E-02,1.065501549
UNC13B,8.60E-02,1.065501549
ALG10B,8.61E-02,1.064996849
GCSH,8.61E-02,1.064996849
PAX2,8.61E-02,1.064996849
PCDHA7,8.61E-02,1.064996849
PLAG1,8.61E-02,1.064996849
SCG2,8.61E-02,1.064996849
USP48,8.61E-02,1.064996849
HIPK1,8.62E-02,1.064492734
TMEM211,8.62E-02,1.064492734
TRAPPC13,8.62E-02,1.064492734
BACH2,8.63E-02,1.063989204
C6orf106,8.63E-02,1.063989204
E4F1,8.63E-02,1.063989204
EML2,8.63E-02,1.063989204
GPR6,8.63E-02,1.063989204
KCNMB2,8.63E-02,1.063989204
SELT,8.63E-02,1.063989204
SGCZ,8.63E-02,1.063989204
UBN2,8.63E-02,1.063989204
ZNF735,8.63E-02,1.063989204
FTMT,8.64E-02,1.063486258
HIST1H4F,8.64E-02,1.063486258
KCNMA1,8.64E-02,1.063486258
MMP2,8.64E-02,1.063486258
RCE1,8.64E-02,1.063486258
TP53BP1,8.64E-02,1.063486258
CDH5,8.65E-02,1.062983893
MRPL55,8.65E-02,1.062983893
ATP5O,8.66E-02,1.062482108
FANCL,8.66E-02,1.062482108
CYP26B1,8.67E-02,1.061980903
PAXBP1,8.67E-02,1.061980903
SLC30A5,8.67E-02,1.061980903
CBR1,8.68E-02,1.061480275
ESCO2,8.68E-02,1.061480275
OR4C12,8.68E-02,1.061480275
BMI1,8.69E-02,1.060980224
GSTTP2,8.69E-02,1.060980224
ASB14,8.70E-02,1.060480747
CCKBR,8.70E-02,1.060480747
ZC3H15,8.70E-02,1.060480747
ME2,8.71E-02,1.059981845
RASGRP4,8.71E-02,1.059981845
TRAF6,8.71E-02,1.059981845
C1orf35,8.72E-02,1.059483515
PNPLA2,8.72E-02,1.059483515
PRPS2,8.72E-02,1.059483515
SERPINB5,8.72E-02,1.059483515
ASS1,8.73E-02,1.058985756
ATG16L1,8.73E-02,1.058985756
SERP1,8.73E-02,1.058985756
ANKRD34A,8.74E-02,1.058488567
CARD14,8.74E-02,1.058488567
GABRG3,8.74E-02,1.058488567
MFAP2,8.74E-02,1.058488567
DCT,8.75E-02,1.057991947
HENMT1,8.75E-02,1.057991947
MS4A15,8.75E-02,1.057991947
FAM129A,8.76E-02,1.057495894
LINC01119,8.76E-02,1.057495894
SNAR-A1,8.76E-02,1.057495894
ZNF540,8.76E-02,1.057495894
DGKE,8.77E-02,1.057000407
SLC19A2,8.77E-02,1.057000407
CPNE4,8.78E-02,1.056505484
DCAF11,8.78E-02,1.056505484
MAML1,8.78E-02,1.056505484
MBD4,8.78E-02,1.056505484
NCL,8.78E-02,1.056505484
PPIB,8.78E-02,1.056505484
TAF6,8.78E-02,1.056505484
TMA16,8.78E-02,1.056505484
ZFP90,8.78E-02,1.056505484
ETS1,8.79E-02,1.056011125
MEIS3,8.79E-02,1.056011125
LPPR4,8.80E-02,1.055517328
MEN1,8.80E-02,1.055517328
MXRA8,8.80E-02,1.055517328
NUDT2,8.80E-02,1.055517328
PLCXD2,8.80E-02,1.055517328
RAC1,8.80E-02,1.055517328
SFI1,8.80E-02,1.055517328
TBCD,8.80E-02,1.055517328
NR2C1,8.81E-02,1.055024092
OR4C45,8.81E-02,1.055024092
CIRBP,8.82E-02,1.054531415
LARP4B,8.82E-02,1.054531415
LBH,8.82E-02,1.054531415
RAB40AL,8.82E-02,1.054531415
ABCC12,8.83E-02,1.054039296
HMGCLL1,8.83E-02,1.054039296
MRPL24,8.83E-02,1.054039296
NUCKS1,8.83E-02,1.054039296
RUVBL1,8.83E-02,1.054039296
SDHAF1,8.83E-02,1.054039296
SP7,8.83E-02,1.054039296
BMPER,8.84E-02,1.053547735
PHF12,8.84E-02,1.053547735
ADH4,8.85E-02,1.053056729
ATAT1,8.85E-02,1.053056729
FAM188A,8.85E-02,1.053056729
FER1L6,8.85E-02,1.053056729
FMNL2,8.85E-02,1.053056729
ZNF16,8.85E-02,1.053056729
FBXO48,8.86E-02,1.052566278
SMU1,8.86E-02,1.052566278
ZFP92,8.86E-02,1.052566278
HTRA4,8.87E-02,1.05207638
MICU3,8.87E-02,1.05207638
RHOT1,8.87E-02,1.05207638
SCGB1B2P,8.87E-02,1.05207638
TBC1D22A,8.87E-02,1.05207638
AP1B1,8.88E-02,1.051587034
LINC01105,8.88E-02,1.051587034
CENPW,8.89E-02,1.051098239
MCPH1,8.89E-02,1.051098239
SPAG16,8.89E-02,1.051098239
ATP6AP1L,8.90E-02,1.050609993
PODNL1,8.90E-02,1.050609993
SIX5,8.90E-02,1.050609993
RGL2,8.91E-02,1.050122296
TM9SF4,8.91E-02,1.050122296
B4GALNT2,8.92E-02,1.049635146
DNAH14,8.92E-02,1.049635146
EGLN1,8.92E-02,1.049635146
RABGGTA,8.92E-02,1.049635146
DGCR6,8.93E-02,1.049148541
DHX15,8.94E-02,1.048662481
POPDC3,8.94E-02,1.048662481
ANGPTL7,8.95E-02,1.048176965
LDHD,8.95E-02,1.048176965
LRRC74A,8.95E-02,1.048176965
MYB,8.96E-02,1.04769199
COX16,8.97E-02,1.047207557
DUSP22,8.97E-02,1.047207557
ITFG3,8.97E-02,1.047207557
OPN1SW,8.97E-02,1.047207557
OSBPL7,8.97E-02,1.047207557
RPAP2,8.97E-02,1.047207557
ZNF131,8.97E-02,1.047207557
GCLC,8.98E-02,1.046723663
MED26,8.98E-02,1.046723663
PDCD2,8.98E-02,1.046723663
MNX1,8.99E-02,1.046240308
PRKAG3,8.99E-02,1.046240308
RNU1-3,8.99E-02,1.046240308
SLED1,8.99E-02,1.046240308
GABARAP,9.00E-02,1.045757491
SPECC1,9.00E-02,1.045757491
UIMC1,9.00E-02,1.045757491
C9orf24,9.01E-02,1.045275209
CYTL1,9.01E-02,1.045275209
NAV2,9.01E-02,1.045275209
PLEKHG1,9.01E-02,1.045275209
TFDP1,9.01E-02,1.045275209
UHMK1,9.01E-02,1.045275209
DSC1,9.02E-02,1.044793462
SCO1,9.02E-02,1.044793462
ASF1B,9.03E-02,1.04431225
CD302,9.03E-02,1.04431225
SMARCAL1,9.03E-02,1.04431225
TEX101,9.03E-02,1.04431225
TIAL1,9.04E-02,1.04383157
PDE6H,9.05E-02,1.043351421
ARHGAP33,9.06E-02,1.042871802
C5orf38,9.06E-02,1.042871802
DICER1,9.07E-02,1.042392713
NPTXR,9.07E-02,1.042392713
IMPA1,9.08E-02,1.041914151
OR7E24,9.08E-02,1.041914151
STRN,9.08E-02,1.041914151
CACNA2D2,9.09E-02,1.041436117
CES5AP1,9.09E-02,1.041436117
HS1BP3,9.09E-02,1.041436117
KCNQ4,9.09E-02,1.041436117
MAP1LC3A,9.09E-02,1.041436117
MED31,9.09E-02,1.041436117
OC90,9.09E-02,1.041436117
OR2T27,9.09E-02,1.041436117
PARP1,9.09E-02,1.041436117
PRIM1,9.09E-02,1.041436117
FNDC3A,9.10E-02,1.040958608
LRRC58,9.10E-02,1.040958608
NASP,9.10E-02,1.040958608
EAF1,9.11E-02,1.040481623
ODF2L,9.11E-02,1.040481623
DEFA1B,9.12E-02,1.040005162
SYNGR1,9.12E-02,1.040005162
TMEM14A,9.12E-02,1.040005162
UBE2G2,9.12E-02,1.040005162
UBXN11,9.12E-02,1.040005162
YEATS4,9.12E-02,1.040005162
ATMIN,9.13E-02,1.039529222
MSRB3,9.13E-02,1.039529222
RNU1-28P,9.13E-02,1.039529222
USP40,9.13E-02,1.039529222
GOLGA6C,9.14E-02,1.039053804
CHMP7,9.15E-02,1.038578906
TMEM232,9.15E-02,1.038578906
CLCA4,9.16E-02,1.038104526
IL21R,9.16E-02,1.038104526
NPY1R,9.16E-02,1.038104526
PLAA,9.16E-02,1.038104526
ULK1,9.16E-02,1.038104526
ABCG1,9.17E-02,1.037630664
GLMN,9.17E-02,1.037630664
NABP2,9.17E-02,1.037630664
CDY1B,9.18E-02,1.037157319
DEPDC5,9.18E-02,1.037157319
EHMT2,9.18E-02,1.037157319
FAM226B,9.18E-02,1.037157319
FZD3,9.18E-02,1.037157319
HOXB6,9.18E-02,1.037157319
MAP6,9.18E-02,1.037157319
PDXP,9.18E-02,1.037157319
TTC8,9.18E-02,1.037157319
DNAJC11,9.19E-02,1.036684489
GPI,9.19E-02,1.036684489
PSEN1,9.19E-02,1.036684489
SLCO3A1,9.19E-02,1.036684489
TEX26,9.19E-02,1.036684489
OR4F29,9.20E-02,1.036212173
SARS,9.20E-02,1.036212173
SDR9C7,9.20E-02,1.036212173
TNPO1,9.20E-02,1.036212173
MIR873,9.21E-02,1.03574037
TTC7A,9.21E-02,1.03574037
CD151,9.22E-02,1.035269079
FAM134B,9.22E-02,1.035269079
ICAM1,9.22E-02,1.035269079
ITGB5,9.22E-02,1.035269079
RS1,9.22E-02,1.035269079
UCN3,9.22E-02,1.035269079
ALDH3A2,9.23E-02,1.034798299
CPEB1,9.23E-02,1.034798299
IL13RA2,9.23E-02,1.034798299
ZNF662,9.23E-02,1.034798299
FCRL3,9.24E-02,1.034328029
FMO6P,9.24E-02,1.034328029
KLC2,9.24E-02,1.034328029
TK1,9.24E-02,1.034328029
TTI2,9.24E-02,1.034328029
CLDN10,9.25E-02,1.033858267
FANCD2OS,9.25E-02,1.033858267
FGD6,9.25E-02,1.033858267
FOXP1-IT1,9.25E-02,1.033858267
SEPN1,9.25E-02,1.033858267
TREML5P,9.25E-02,1.033858267
TRIM34,9.25E-02,1.033858267
ADIPOR1,9.26E-02,1.033389013
MTMR8,9.26E-02,1.033389013
RPE,9.26E-02,1.033389013
CCL19,9.27E-02,1.032920266
LOC650293,9.27E-02,1.032920266
SLFN12,9.27E-02,1.032920266
ARAP3,9.28E-02,1.032452024
FAM27C,9.28E-02,1.032452024
ACADS,9.29E-02,1.031984286
CBL,9.29E-02,1.031984286
PTPMT1,9.29E-02,1.031984286
SDF2L1,9.29E-02,1.031984286
INO80,9.30E-02,1.031517051
BRMS1L,9.31E-02,1.031050319
SNORD76,9.31E-02,1.031050319
EGR3,9.32E-02,1.030584088
HECTD4,9.32E-02,1.030584088
LMBRD1,9.32E-02,1.030584088
PKP3,9.32E-02,1.030584088
MIR1289-2,9.33E-02,1.030118356
CNP,9.34E-02,1.029653124
DBN1,9.34E-02,1.029653124
GJA3,9.34E-02,1.029653124
GPR142,9.34E-02,1.029653124
MIR326,9.34E-02,1.029653124
MON1A,9.34E-02,1.029653124
SETD3,9.34E-02,1.029653124
TMEM230,9.34E-02,1.029653124
ABCC6P2,9.35E-02,1.029188389
AZU1,9.35E-02,1.029188389
GTPBP10,9.35E-02,1.029188389
CC2D1B,9.36E-02,1.028724151
TFAP2E,9.36E-02,1.028724151
ZNF107,9.36E-02,1.028724151
AKR1C6P,9.37E-02,1.028260409
KRTAP10-10,9.37E-02,1.028260409
FAM134C,9.38E-02,1.027797162
ZNF577,9.38E-02,1.027797162
CRYGC,9.39E-02,1.027334408
EZH2,9.39E-02,1.027334408
GAPVD1,9.39E-02,1.027334408
GNB5,9.39E-02,1.027334408
IFITM4P,9.39E-02,1.027334408
ENAM,9.40E-02,1.026872146
RAI14,9.40E-02,1.026872146
RHAG,9.40E-02,1.026872146
PAIP1,9.41E-02,1.026410377
PECAM1,9.41E-02,1.026410377
PVRL3,9.41E-02,1.026410377
TNFSF14,9.41E-02,1.026410377
ZNF548,9.41E-02,1.026410377
FERMT3,9.42E-02,1.025949097
TMBIM6,9.42E-02,1.025949097
UXT,9.42E-02,1.025949097
ZNF277,9.42E-02,1.025949097
CYTH4,9.43E-02,1.025488307
PPIP5K1,9.43E-02,1.025488307
ATXN1L,9.44E-02,1.025028006
DNAJB1,9.44E-02,1.025028006
WNT5A,9.44E-02,1.025028006
CMKLR1,9.45E-02,1.024568191
HINT3,9.45E-02,1.024568191
ORMDL2,9.45E-02,1.024568191
PNRC1,9.45E-02,1.024568191
TSPO,9.46E-02,1.024108864
NTMT1,9.47E-02,1.023650021
CASQ2,9.48E-02,1.023191663
PDE4D,9.48E-02,1.023191663
SPAST,9.48E-02,1.023191663
GTF3C5,9.49E-02,1.022733788
OR1J1,9.49E-02,1.022733788
SREBF1,9.49E-02,1.022733788
TRIM6-TRIM34,9.49E-02,1.022733788
ATP13A4,9.50E-02,1.022276395
ATP6V0E1,9.50E-02,1.022276395
RETSAT,9.50E-02,1.022276395
S100A7,9.50E-02,1.022276395
MYT1L,9.51E-02,1.021819483
CADPS2,9.52E-02,1.021363052
DCAF12,9.52E-02,1.021363052
DNAJC1,9.52E-02,1.021363052
PCDHB11,9.52E-02,1.021363052
RAB18,9.52E-02,1.021363052
ROPN1B,9.52E-02,1.021363052
SNORD114-3,9.52E-02,1.021363052
SPARCL1,9.52E-02,1.021363052
ZSCAN32,9.52E-02,1.021363052
GJB3,9.53E-02,1.020907099
NDP,9.53E-02,1.020907099
NFATC2,9.53E-02,1.020907099
NRG1,9.53E-02,1.020907099
SERPINA5,9.53E-02,1.020907099
DYDC1,9.54E-02,1.020451625
SMAD7,9.54E-02,1.020451625
CNOT8,9.55E-02,1.019996628
KLC2,9.55E-02,1.019996628
XPO5,9.55E-02,1.019996628
AADACP1,9.56E-02,1.019542108
LUC7L,9.57E-02,1.019088062
CHST2,9.58E-02,1.018634491
GTF3C2,9.58E-02,1.018634491
TUSC2,9.58E-02,1.018634491
ECM2,9.59E-02,1.018181393
FAAH2,9.59E-02,1.018181393
SLC31A1,9.59E-02,1.018181393
SLC7A4,9.59E-02,1.018181393
AMPD2,9.60E-02,1.017728767
MEOX2,9.60E-02,1.017728767
RNU6ATAC,9.60E-02,1.017728767
TMSB4Y,9.60E-02,1.017728767
COL11A1,9.61E-02,1.017276612
DYNLRB1,9.61E-02,1.017276612
FAM206A,9.61E-02,1.017276612
HIST1H1T,9.61E-02,1.017276612
LOC101927166,9.61E-02,1.017276612
OOEP,9.61E-02,1.017276612
TJAP1,9.61E-02,1.017276612
TMEM170A,9.61E-02,1.017276612
ZNF136,9.61E-02,1.017276612
DOK2,9.62E-02,1.016824928
MYO9A,9.62E-02,1.016824928
SLTM,9.62E-02,1.016824928
CCAR2,9.63E-02,1.016373713
IGF2R,9.63E-02,1.016373713
KIZ,9.63E-02,1.016373713
STARD3NL,9.63E-02,1.016373713
ZMYND8,9.63E-02,1.016373713
AGTR2,9.64E-02,1.015922966
GLUL,9.64E-02,1.015922966
LRRC26,9.64E-02,1.015922966
NFATC4,9.64E-02,1.015922966
RBBP8NL,9.64E-02,1.015922966
SLC16A12,9.64E-02,1.015922966
ALG11,9.65E-02,1.015472687
COL6A6,9.65E-02,1.015472687
KLHL29,9.65E-02,1.015472687
NLRP7,9.65E-02,1.015472687
PNKD,9.65E-02,1.015472687
SPATA18,9.65E-02,1.015472687
ZNF384,9.65E-02,1.015472687
ZNF517,9.65E-02,1.015472687
LSG1,9.66E-02,1.015022874
PABPC3,9.66E-02,1.015022874
SNHG1,9.66E-02,1.015022874
CTRC,9.68E-02,1.014124643
KCNIP4-IT1,9.68E-02,1.014124643
SDIM1,9.68E-02,1.014124643
TAGLN2,9.68E-02,1.014124643
HLF,9.69E-02,1.013676223
TGFBR3L,9.69E-02,1.013676223
IARS,9.70E-02,1.013228266
SCAND1,9.70E-02,1.013228266
GPHB5,9.71E-02,1.01278077
MGC57346,9.71E-02,1.01278077
OR3A2,9.71E-02,1.01278077
CCT7,9.72E-02,1.012333735
GCSH,9.72E-02,1.012333735
PARP8,9.72E-02,1.012333735
TRMT12,9.72E-02,1.012333735
CXADR,9.73E-02,1.01188716
GCSAM,9.73E-02,1.01188716
NSA2,9.73E-02,1.01188716
RAD51,9.73E-02,1.01188716
WIBG,9.73E-02,1.01188716
ARMC7,9.74E-02,1.011441043
ISL1,9.74E-02,1.011441043
C4BPB,9.75E-02,1.010995384
ESYT3,9.75E-02,1.010995384
NUDCD3,9.75E-02,1.010995384
ACR,9.76E-02,1.010550182
AURKC,9.76E-02,1.010550182
C12orf5,9.77E-02,1.010105436
CR2,9.77E-02,1.010105436
GRIN2C,9.77E-02,1.010105436
MDK,9.77E-02,1.010105436
PVRL1,9.77E-02,1.010105436
SLC1A5,9.77E-02,1.010105436
CTPS1,9.78E-02,1.009661145
MAP4K4,9.78E-02,1.009661145
CDC16,9.79E-02,1.009217308
CYP2U1,9.79E-02,1.009217308
INO80E,9.79E-02,1.009217308
SMURF2,9.79E-02,1.009217308
PDHA2,9.82E-02,1.007888512
H2BFWT,9.83E-02,1.007446482
SDHA,9.83E-02,1.007446482
ADAMTSL2,9.84E-02,1.007004902
FAM45A,9.84E-02,1.007004902
IFNA14,9.84E-02,1.007004902
MMRN1,9.84E-02,1.007004902
OR6C1,9.84E-02,1.007004902
RAD17,9.84E-02,1.007004902
RPLP1,9.84E-02,1.007004902
AGAP3,9.85E-02,1.00656377
LEF1,9.85E-02,1.00656377
LOC729860,9.85E-02,1.00656377
USP17L6P,9.85E-02,1.00656377
EDIL3,9.86E-02,1.006123085
HBA1,9.86E-02,1.006123085
ITPKA,9.86E-02,1.006123085
KCNG2,9.86E-02,1.006123085
MRPL23,9.86E-02,1.006123085
NEK4,9.86E-02,1.006123085
LCE2A,9.87E-02,1.005682847
C2CD2,9.88E-02,1.005243055
DCUN1D1,9.88E-02,1.005243055
GALNT5,9.88E-02,1.005243055
LEPR,9.88E-02,1.005243055
MIR122,9.88E-02,1.005243055
SDHAP1,9.88E-02,1.005243055
SHISA7,9.88E-02,1.005243055
AGXT2,9.90E-02,1.004364805
C2orf44,9.90E-02,1.004364805
DAZ2,9.90E-02,1.004364805
FAM229B,9.90E-02,1.004364805
MIR1253,9.90E-02,1.004364805
MSH2,9.90E-02,1.004364805
OSCP1,9.90E-02,1.004364805
PSPN,9.90E-02,1.004364805
ACADVL,9.91E-02,1.003926346
ADRB1,9.91E-02,1.003926346
DPP7,9.91E-02,1.003926346
HAS2,9.91E-02,1.003926346
MAGED2,9.91E-02,1.003926346
PRSS45,9.91E-02,1.003926346
ZNF770,9.91E-02,1.003926346
KCND2,9.92E-02,1.003488328
RNF208,9.92E-02,1.003488328
CENPI,9.93E-02,1.003050752
GEM,9.93E-02,1.003050752
HNRNPCL1,9.93E-02,1.003050752
SPRED1,9.93E-02,1.003050752
USP42,9.93E-02,1.003050752
CBWD3,9.94E-02,1.002613616
CXCL12,9.94E-02,1.002613616
IL11,9.94E-02,1.002613616
LGI2,9.94E-02,1.002613616
LOXHD1,9.94E-02,1.002613616
LST1,9.94E-02,1.002613616
OR52E6,9.94E-02,1.002613616
PHF21B,9.94E-02,1.002613616
TP53I13,9.94E-02,1.002613616
TXNDC12,9.94E-02,1.002613616
KBTBD6,9.95E-02,1.002176919
PEX2,9.95E-02,1.002176919
TRPV5,9.95E-02,1.002176919
LDHA,9.96E-02,1.001740662
PLA2R1,9.96E-02,1.001740662
CLDN8,9.97E-02,1.001304842
COL9A1,9.97E-02,1.001304842
DBX1,9.97E-02,1.001304842
ELMO1,9.97E-02,1.001304842
EPB41,9.97E-02,1.001304842
FKBP1A,9.97E-02,1.001304842
HSD11B1L,9.97E-02,1.001304842
KBTBD7,9.97E-02,1.001304842
LMBR1,9.97E-02,1.001304842
MTG2,9.97E-02,1.001304842
NDUFS4,9.97E-02,1.001304842
PDGFRA,9.97E-02,1.001304842
TTC9,9.97E-02,1.001304842
ZNF536,9.97E-02,1.001304842
HEATR2,9.98E-02,1.000869459
IL16,9.98E-02,1.000869459
CARF,9.99E-02,1.000434512
CCP110,9.99E-02,1.000434512
DHRS4-AS1,9.99E-02,1.000434512
IPP,9.99E-02,1.000434512
LRP11,9.99E-02,1.000434512
NRXN2,9.99E-02,1.000434512
NUDT22,9.99E-02,1.000434512
PIP5K1A,9.99E-02,1.000434512
PRG1,9.99E-02,1.000434512
ROCK2,9.99E-02,1.000434512
VPS28,9.99E-02,1.000434512
ANKRD13C,1.00E-01,1
CYP4F3,1.00E-01,1
CYTH1,1.00E-01,1
DHFRL1,1.00E-01,1
EFNA3,1.00E-01,1
FAM155A,1.00E-01,1
FAM177B,1.00E-01,1
HHIPL1,1.00E-01,1
HNRNPA3,1.00E-01,1
LOC101927505,1.00E-01,1
MYRF,1.00E-01,1
NEUROG1,1.00E-01,1
PDE4B,1.00E-01,1
PTPN12,1.00E-01,1
UGP2,1.00E-01,1
UTS2,1.00E-01,1
ADAMTS2,1.01E-01,0.995678626
C1orf74,1.01E-01,0.995678626
CAND2,1.01E-01,0.995678626
CCR6,1.01E-01,0.995678626
CSNK1G1,1.01E-01,0.995678626
CTH,1.01E-01,0.995678626
DNTTIP1,1.01E-01,0.995678626
EBNA1BP2,1.01E-01,0.995678626
EYA4,1.01E-01,0.995678626
FAM212B,1.01E-01,0.995678626
FNDC1,1.01E-01,0.995678626
KIAA1143,1.01E-01,0.995678626
MAD1L1,1.01E-01,0.995678626
MAGEH1,1.01E-01,0.995678626
MBP,1.01E-01,0.995678626
MIR202,1.01E-01,0.995678626
OCRL,1.01E-01,0.995678626
RAET1E,1.01E-01,0.995678626
RAMP2-AS1,1.01E-01,0.995678626
RGAG1,1.01E-01,0.995678626
RILPL2,1.01E-01,0.995678626
RMI1,1.01E-01,0.995678626
RSRP1,1.01E-01,0.995678626
SART1,1.01E-01,0.995678626
SLC12A4,1.01E-01,0.995678626
SNRNP40,1.01E-01,0.995678626
SOCS4,1.01E-01,0.995678626
SPPL2B,1.01E-01,0.995678626
SSX4,1.01E-01,0.995678626
TCERG1,1.01E-01,0.995678626
TJP1,1.01E-01,0.995678626
TMEM192,1.01E-01,0.995678626
TUBG2,1.01E-01,0.995678626
TYMS,1.01E-01,0.995678626
UBAP1L,1.01E-01,0.995678626
WHSC1L1,1.01E-01,0.995678626
ZNF141,1.01E-01,0.995678626
ADAM30,1.02E-01,0.991399828
ARHGEF6,1.02E-01,0.991399828
ARID4B,1.02E-01,0.991399828
ASTN1,1.02E-01,0.991399828
BANF2,1.02E-01,0.991399828
BCAS1,1.02E-01,0.991399828
CDK5RAP2,1.02E-01,0.991399828
CLNK,1.02E-01,0.991399828
CTBP1,1.02E-01,0.991399828
FAM171B,1.02E-01,0.991399828
FANK1,1.02E-01,0.991399828
FTCD,1.02E-01,0.991399828
GLYAT,1.02E-01,0.991399828
GPR37L1,1.02E-01,0.991399828
HOXD10,1.02E-01,0.991399828
IGFBP1,1.02E-01,0.991399828
KCND3,1.02E-01,0.991399828
KLRG1,1.02E-01,0.991399828
LANCL1,1.02E-01,0.991399828
LOC100129434,1.02E-01,0.991399828
LOC113230,1.02E-01,0.991399828
LOC441666,1.02E-01,0.991399828
LZTS2,1.02E-01,0.991399828
MIR1267,1.02E-01,0.991399828
MIR128-2,1.02E-01,0.991399828
MIR297,1.02E-01,0.991399828
MIR564,1.02E-01,0.991399828
MS4A4A,1.02E-01,0.991399828
MSMB,1.02E-01,0.991399828
MYO9B,1.02E-01,0.991399828
NDUFV2,1.02E-01,0.991399828
NUP93,1.02E-01,0.991399828
OR51B4,1.02E-01,0.991399828
PIGN,1.02E-01,0.991399828
PTS,1.02E-01,0.991399828
RORC,1.02E-01,0.991399828
RYK,1.02E-01,0.991399828
SCCPDH,1.02E-01,0.991399828
SCRN3,1.02E-01,0.991399828
SEMA5A,1.02E-01,0.991399828
SLURP1,1.02E-01,0.991399828
STARD13,1.02E-01,0.991399828
TAAR3,1.02E-01,0.991399828
TPD52L3,1.02E-01,0.991399828
UBR5,1.02E-01,0.991399828
VCX3B,1.02E-01,0.991399828
WIF1,1.02E-01,0.991399828
ZNF205-AS1,1.02E-01,0.991399828
ZNF214,1.02E-01,0.991399828
ZNF626,1.02E-01,0.991399828
ZNF639,1.02E-01,0.991399828
ARVCF,1.03E-01,0.987162775
ATP6V0A4,1.03E-01,0.987162775
BRWD1,1.03E-01,0.987162775
CALHM2,1.03E-01,0.987162775
CLEC3A,1.03E-01,0.987162775
CPS1-IT1,1.03E-01,0.987162775
CRTAM,1.03E-01,0.987162775
CYLD,1.03E-01,0.987162775
HAND2,1.03E-01,0.987162775
HMGN5,1.03E-01,0.987162775
HYPK,1.03E-01,0.987162775
IL12RB1,1.03E-01,0.987162775
